,industry_code,dropped_flag,count_of_dropped_employment
1469,Temporary Help Services,0.0,3505
748,Limited-Service Restaurants ,0.0,1063
564,Full-Service Restaurants ,0.0,936
1239,Professional Employer Organizations,0.0,888
586,General Medical and Surgical Hospitals ,0.0,847
590,General Warehousing and Storage ,0.0,672
386,Department Stores ,0.0,496
947,Offices of Physicians (except Mental Health Specia...,0.0,474
642,Hotels (except Casino Hotels) and Motels ,0.0,426
442,Elementary and Secondary Schools ,0.0,390
1434,Supermarkets and Other Grocery Retailers (except C...,0.0,351
1462,Telemarketing Bureaus and Other Contact Centers ,0.0,347
581,"General Freight Trucking, Long-Distance, Truckload...",0.0,329
1352,Security Guards and Patrol Services ,0.0,297
46,All Other General Merchandise Retailers ,0.0,295
447,Employment Placement Agencies ,0.0,273
463,"Executive and Legislative Offices, Combined ",0.0,260
915,Nursing Care Facilities (Skilled Nursing Facilitie...,0.0,256
574,Gasoline Stations with Convenience Stores ,0.0,249
636,Home Health Care Services,0.0,240
