industry_code,pct_change
Temporary Help Services,124.7471459195073
Hotels (except Casino Hotels) and Motels ,93.71394812269142
Security Guards and Patrol Services ,88.55459400034334
Elementary and Secondary Schools ,61.04219502674008
Department Stores ,58.68672800509565
Motion Picture and Video Production ,50.99811504916389
Limited-Service Restaurants ,50.22498464416861
General Warehousing and Storage ,42.155627351771514
Scheduled Passenger Air Transportation ,41.79450051546406
Child Care Services ,40.762275413630746
All Other General Merchandise Retailers ,36.393569192439095
Custom Computer Programming Services ,36.217692759478034
Engineering Services,35.79423308683704
Janitorial Services ,27.910923415250895
Telemarketing Bureaus and Other Contact Centers ,27.60917298400631
Tax Preparation Services ,27.142559131760034
Supermarkets and Other Grocery Retailers (except Convenience Retailers) ,25.95287790952589
Poultry Processing ,24.56040530683127
New Car Dealers ,22.561018729296517
Wired Telecommunications Carriers ,21.69500014402581
Assisted Living Facilities for the Elderly ,20.25603442497094
Gasoline Stations with Convenience Stores ,19.751384312041196
Full-Service Restaurants ,19.576778245258932
Landscaping Services,19.022220833919828
Food Service Contractors,17.703538475413477
Insurance Agencies and Brokerages ,17.30530391363495
"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",15.163028747889452
Administrative Management and General Management Consulting Services ,14.895506948629109
Direct Property and Casualty Insurance Carriers ,14.788312454467707
Human Resources Consulting Services ,14.579729981378026
Couriers and Express Delivery Services,13.01406231662968
Employment Placement Agencies ,12.536338261859266
Services for the Elderly and Persons with Disabilities ,11.435055111509115
Solid Waste Collection ,10.497731392035048
Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,8.868630278896736
Optical Goods Retailers ,8.480863854975953
Lessors of Residential Buildings and Dwellings ,8.377819659703505
Direct Health and Medical Insurance Carriers ,8.360870051986993
Fitness and Recreational Sports Centers ,8.244919007724073
Commercial Printing (except Screen and Books) ,8.11783494862476
Professional Employer Organizations,7.99854875070176
Nursing Care Facilities (Skilled Nursing Facilities) ,7.482613762040713
Construction Machinery Manufacturing,7.229341541992144
Caterers,7.217783891009806
Ambulance Services ,7.1232141714541655
All Other Support Services,7.030800411358449
Computer Systems Design Services ,6.922042002015573
Drinking Places (Alcoholic Beverages) ,6.895083319584227
Home Centers ,6.83097373521583
Other Management Consulting Services ,6.815402787621072
"Highway, Street, and Bridge Construction ",6.756973782393303
Shoe Retailers ,6.1414791695646125
Other Individual and Family Services ,5.845335026630029
"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",5.6929107508652965
Nonresidential Property Managers ,5.5832469699012535
Outpatient Mental Health and Substance Abuse Centers ,5.511140173124942
Freestanding Ambulatory Surgical and Emergency Centers ,5.417857533497402
Wholesale Trade Agents and Brokers ,5.359104723720119
Other Personal Care Services ,5.309123167584538
Other Accounting Services ,5.185168187088896
Other Airport Operations ,5.178044317768899
Commercial Bakeries ,5.145132037656491
Truck Trailer Manufacturing ,5.1357637487750045
Drycleaning and Laundry Services (except Coin-Operated) ,5.049975973551686
Used Car Dealers ,5.037895092365822
Blood and Organ Banks ,4.880178965853123
"Fiber, Yarn, and Thread Mills ",4.664107117314916
Postharvest Crop Activities (except Cotton Ginning) ,4.537631851716359
Car Washes ,4.509496144077049
Junior Colleges ,4.504415301408994
Private Households,4.406787901357166
Executive Search Services ,4.388502683075214
