,industry_code,count
792,Temporary Help Services,35247
304,Full-Service Restaurants ,9890
403,Limited-Service Restaurants ,9573
663,Professional Employer Organizations,9452
317,General Warehousing and Storage ,8945
315,General Medical and Surgical Hospitals ,8869
209,Department Stores ,6873
238,Elementary and Secondary Schools ,6844
507,Offices of Physicians (except Mental Health Specia...,5147
346,Hotels (except Casino Hotels) and Motels ,4944
788,Telemarketing Bureaus and Other Contact Centers ,4448
772,Supermarkets and Other Grocery Retailers (except C...,4412
249,"Executive and Legislative Offices, Combined ",4201
25,All Other General Merchandise Retailers ,4101
241,Employment Placement Agencies ,3590
156,Computer Systems Design Services ,3534
726,Security Guards and Patrol Services ,3505
373,Insurance Agencies and Brokerages ,3083
343,Home Health Care Services,2987
836,Wholesale Trade Agents and Brokers ,2800
