,industry_code,total_wages_before,quarter,total_wages_after,wage_change
0,Adhesive Mfg,27566.423076923078,1,37570.57692307692,-10004.153846153844
1,Administration of Air and Water Resource and Solid...,10148.0,1,20839.8,-10691.8
2,Administration of Conservation Programs ,9966.264705882353,1,15039.764705882353,-5073.5
3,Administration of Education Programs ,14465.176470588236,1,27950.0,-13484.823529411764
4,Administration of Housing Programs ,22618.925,1,26154.725,-3535.7999999999993
5,Administration of Human Resource Programs (except ...,17760.602409638555,1,25405.89156626506,-7645.289156626506
6,Administration of Public Health Programs ,24038.889705882353,1,28916.985294117647,-4878.095588235294
7,Administration of Urban Planning and Community and...,18383.285714285714,1,33217.17857142857,-14833.892857142859
8,Administration of Veterans' Affairs ,10015.9,1,18120.4,-8104.500000000002
9,Administrative Management and General Management C...,29946.74426229508,1,45094.30327868852,-15147.559016393443
10,Advertising Agencies,36853.64705882353,1,50115.17647058824,-13261.529411764706
11,Advertising Material Distribution Services,19811.14285714286,1,12224.857142857143,7586.285714285716
12,"Agents and Managers for Artists, Athletes, Enterta...",16472.083333333332,1,27201.0,-10728.916666666668
13,Air Traffic Control,21865.51724137931,1,22524.53448275862,-659.017241379308
14,Air and Gas Compressor Mfg ,19189.0,1,61556.75,-42367.75
15,Air-Conditioning and Warm Air Heating Equipment an...,23429.95945945946,1,29319.0,-5889.04054054054
16,Aircraft Engine and Engine Parts Mfg ,23456.1,1,36822.46,-13366.36
17,Aircraft Mfg ,25827.355263157893,1,42891.03947368421,-17063.68421052632
18,All Other Amusement and Recreation Industries ,13494.666666666666,1,18407.897435897437,-4913.230769230771
19,All Other Automotive Repair and Maintenance ,19811.166666666668,1,20738.0,-926.8333333333321
20,All Other Basic Organic Chemical Mfg ,15191.57142857143,1,30011.0,-14819.42857142857
21,All Other Business Support Services ,23253.785714285714,1,29027.64285714286,-5773.857142857145
22,All Other Consumer Goods Rental ,15355.027777777777,1,22919.5,-7564.472222222223
23,All Other Converted Paper Product Mfg ,16304.0,1,26434.3,-10130.3
24,All Other General Merchandise Retailers ,11436.278700906345,1,14204.881419939577,-2768.6027190332316
25,All Other Health and Personal Care Retailers ,17878.263157894737,1,41827.78947368421,-23949.526315789477
26,All Other Home Furnishings Retailers ,14491.964601769912,1,19902.522123893807,-5410.557522123894
27,All Other Industrial Machinery Mfg ,33388.25,1,50578.225,-17189.975
28,All Other Insurance Related Activities ,30765.065789473683,1,32979.63157894737,-2214.5657894736833
29,All Other Legal Services ,28426.785714285714,1,27716.821428571428,709.9642857142862
30,All Other Miscellaneous Ambulatory Health Services...,18641.5875,1,24809.4125,-6167.824999999997
31,All Other Miscellaneous Chemical Product and Prepa...,24106.347826086956,1,40967.82608695652,-16861.478260869564
32,All Other Miscellaneous Fabricated Metal Product M...,30093.882352941175,1,42979.58823529412,-12885.705882352944
33,All Other Miscellaneous Food Mfg ,31690.714285714286,1,32516.5,-825.7857142857138
34,All Other Miscellaneous General Purpose Machinery ...,59010.28571428572,1,72127.28571428571,-13116.999999999993
35,All Other Miscellaneous Mfg ,25437.172413793105,1,30145.793103448275,-4708.62068965517
36,All Other Miscellaneous Nonmetallic Mineral Produc...,31263.35714285714,1,43114.0,-11850.642857142859
37,All Other Miscellaneous Retailers ,18941.81818181818,1,25734.18181818182,-6792.36363636364
38,All Other Miscellaneous Schools and Instruction ,23518.88888888889,1,51654.22222222222,-28135.33333333333
39,All Other Miscellaneous Textile Product Mills ,20220.225806451614,1,29043.25806451613,-8823.032258064515
