,industry_code,total_wages_after
19,Other Scientific and Technical Consulting Services,77412
18,Pharmaceutical Preparation Mfg ,77931
17,Computer and Computer Peripheral Equipment and Sof...,78765
16,All Other Miscellaneous General Purpose Machinery ...,79422
15,Printing and Writing Paper Merchant Wholesalers ,80365
14,Radio and Television Broadcasting and Wireless Com...,83523
13,Fossil Fuel Electric Power Generation ,83640
12,Instrument Mfg for Measuring and Testing Electrici...,84879
11,Credit Card Issuing ,86194
10,Nonscheduled Chartered Passenger Air Trans ,86459
9,Deep Sea Freight Trans ,87160
8,Footwear Merchant Wholesalers ,88417
7,Savings Institutions and Other Depository Credit I...,89557
6,Miscellaneous Financial Investment Activities ,92971
5,Motor Vehicle Electrical and Electronic Equipment ...,93637
4,Graphic Design Services,96731
3,Media Representatives,106571
2,Irradiation Apparatus Mfg ,108621
1,Other Pressed and Blown Glass and Glassware Mfg ,129227
0,Art Dealers ,131707
