DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
SECTION A - INDIVIDUAL INFORMATION,,,,,,,,,,,,
SECTION A.01 - IDENTIFYING DATA,,,,,,,,,,,,
100,"Unique Individual Identifier 
(WIOA)",AN 12,"Record the unique identification number assigned to the participant.  At a 
minimum, this identifier for a person must be the same for each program entry 
and exit (i.e., ""period of participation"") that an participant has during a program 
year so that a unique count of participants may be calculated for the program 
year.  NOTE: For Titles I, II, and III, unless specifically directed in program 
guidance, this field cannot contain a social security number.",XXXXXXXXXXXX,Encrypted,R,R,R,R,R,R,R
101,"State Code of Residence 
(WIOA)",AN 2,"Record the 2-letter FIPS alpha code of the state of the primary domicile of the 
participant.  For example, the State of Alabama would be represented as ""AL.""  
Primary domicile is that location established or claimed as the permanent 
residence or ""home"" of the participant.  
If primary domicile is outside the United States, use the following numeric 
codes:
77 = All Other Countries
88 = Mexico
99 = Canada
For persons on active military duty, states should record the two-letter 
Air/Army Post Office (APO) or Fleet Post Office (FPO) as defined by the Military 
Postal Service Agency.
AE (ZIPs 09xxx) for Armed Forces Europe which includes Canada, Middle East, 
and Africa
AP (ZIPs 962xx - 966xx) for Armed Forces Pacific
AA (ZIPs 340xx) for Armed Forces (Central and South) Americas",XX,"This Item is blank in public use file to 
preserve participant confidentiality.  See 
Item 4000 which provides the state that 
submitted the data.",R,R,R,R,R,R,R
102,County Code of Residence,IN 3,"Record the 3-digit FIPS Code of the County of the primary domicile of the 
participant.  Primary domicile is that location established or claimed as the 
permanent residence or ""home"" of the participant.
If primary domicile is outside the United States, use the following codes:
777 = All Other Countries
888 = Mexico
999 = Canada",000,"This Item is blank in public use file to 
preserve participant confidentiality.",R,R,R,R,R,R,R
103,Zip Code of Residence,IN 5,"Record the 5-digit zip code of the primary domicile of the participant.  Primary 
domicile is that location established or claimed as the permanent residence or 
""home"" of the participant. 
 
If primary domicile is outside the United States, use the following codes:
77777 = All Other Countries
88888 = Mexico
99999 = Canada                                                                                                                    
                                                                                                                                                 
For persons on active military duty, states should record the zip code associated 
with the APO or FPO as defined by the Military Postal Service Agency.",00000,"This Item is blank in public use file to 
preserve participant confidentiality.",R,R,R,R,R,R,R
105,Special Project ID - 1,AN 7,"Record the 7-digit alpha-numeric ID assigned by DOL for Special Projects or 
populations served under this program.  Refer to ETA guidance for instructions 
on its use.",XXXXXXX,"This Item is blank in public use file to 
preserve participant confidentiality if 
fewer than 3 participants in a program 
year.",,R,R,R,R,R,R
DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
106,Special Project ID - 2,AN 7,"Record the 7-digit alpha-numeric ID assigned by DOL for Special Projects or 
populations served under this program.  Refer to ETA guidance for instructions 
on its use.  Use this second Project ID in the event that a participant falls under 
more than one Special Project category.",XXXXXXX,"This Item is blank in public use file to 
preserve participant confidentiality if 
fewer than 3 participants in a program 
year.",,R,R,R,R,R,R
107,Special Project ID - 3,AN 7,"Record the 7-digit alpha-numeric ID assigned by DOL for Special Projects or 
populations served under this program.  Refer to ETA guidance for instructions 
on its use.  Use this third Project ID in the event that a participant falls under 
more than two Special Project categories.                                                                      
NOTE:  If Data Element 930 (Pay-for-Performance) = 1, Record Pay-for-
Performance Provider ID in this field.",XXXXXXXX,"This Item is blank in public use file to 
preserve participant confidentiality if 
fewer than 3 participants in a program 
  y  e  a  r  .",,R,R,R,R,R,R
108-A,"ETA-Assigned 1st Local 
Workforce Board Code",IN 5,"Record the 5-digit ETA assigned Local Board/Statewide code where the 
participant was determined eligible to participate in the program and received 
his/her first service financially assisted by the program.  If the participant was 
served by the local area and also by other non-local funds (e.g., statewide funds 
or a Dislocated Worker Grant), record the code for the Local Board.  If 
participant record is a liable state record, record 99999.
This Is the primary ETA Assigned Local Workforce Board Code. It triggers 
inclusion in state reports as well as the identified Local Area reports.",00000,"Record removed from public use file to 
preserve participant confidentiality if 
fewer than 50 participants in a program 
year.",,R,R,R,R,R,R
108-B,"ETA-Assigned 2nd Local 
Workforce Board Code",IN 5,"Record the 5-digit ETA assigned Local Board where the participant was 
determined eligible to participate in the program and received his/her first 
service financially assisted by the program.  If the participant was served by the 
local area and also by other non-local funds (e.g., statewide funds or a 
Dislocated Worker Grant), record the code for the Local Board.  If participant 
record is a liable state record, record 99999.
This Is the secondary ETA Assigned Local Workforce Board Code. It triggers 
inclusion in the reports for the identified Local Area only",00000,,,R,R,R,R,R,R
108-C,"ETA-Assigned 3rd Local 
Workforce Board Code",IN 5,"Record the 5-digit ETA assigned Local Board where the participant was 
determined eligible to participate in the program and received his/her first 
service financially assisted by the program.  If the participant was served by the 
local area and also by other non-local funds (e.g., statewide funds or a 
Dislocated Worker Grant), record the code for the Local Board.  If participant 
record is a liable state record, record 99999.
This Is the tertiary ETA Assigned Local Workforce Board Code. It triggers 
inclusion in the reports for the identified Local Area only.",00000,,,R,R,R,R,R,R
DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
SECTION A.02-EQUAL OPPORTUNITY INFORMATION,,,,,,,,,,,,
200,Date of Birth(WIOA),DT 8,Record the participant's date of birth.,YYYYMMDD,"This Item is blank in public use file to 
preserve participant confidentiality. See 
Item 4039 for age at program entry.",R,R,R,R,R,R,R
201,Sex (WIOA),IN 1,"Record 1 if the participant indicates that he is male.
Record 2 if the participant indicates that she is female.
Record 9 if the participant did not self-identify their sex.","1 = Male
2 = Female
9 = Participant did not self-identify",,R,R,R,R,R,R,R
